"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword child should display the corresponding article","SUCCESS","2022-05-09T15:39:40.557+03:00[Europe/Athens]","0.0","7.15"
"Search by keyword story","Searching by keyword love should display the corresponding article","SUCCESS","2022-05-09T15:39:48.314+03:00[Europe/Athens]","0.0","4.1"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2022-05-09T15:39:52.503+03:00[Europe/Athens]","0.0","3.82"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2022-05-09T15:39:56.321+03:00[Europe/Athens]","0.0","0.29"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2022-05-09T15:39:56.708+03:00[Europe/Athens]","0.0","4.9"
"Search by keyword story ddt","Search wiki by keyword test DDT","FAILURE","2022-05-09T16:23:50.842+03:00[Europe/Athens]","0.0","20.63"
"Search by keyword story ddt","Searching by keyword turcia should display the corresponding article","FAILURE","2022-05-09T17:04:15.618+03:00[Europe/Athens]","0.0","68.27"
"Search by keyword story ddt","Searching by keyword mordor should not display the corresponding article","ERROR","2022-05-09T17:04:15.887+03:00[Europe/Athens]","0.0","6.69"
"Filter by destination ddt","Filter by given destination should display number of hotels","FAILURE","2022-05-09T20:26:44.784+03:00[Europe/Athens]","0.0","35.06"
"Search by keyword story ddt","Searching by given keywords should display or not the corresponding article","ERROR","2022-05-09T23:44:36.229+03:00[Europe/Athens]","0.0","22.82"
